time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,data201,data202,data203,data204,data205,data206,data207,data208,data209,data210,data211,data212,data213,data214,data215,data216,data217,data218,data219,data220,data221,data222,data223,data224,data225,data226,data227,data228,data229,data230,data231,data232,data233,data234,data235,data236,data237,data238,data239,data240,data241,data242,data243,data244,data245,data246,data247,data248,data249,data250,data251,data252,data253,data254,data255,data256,data257,data258,data259,data260,data261,data262,data263,data264,data265,data266,data267,data268,data269,data270,data271,data272,data273,data274,data275,data276,data277,data278,data279,data280,data281,data282,data283,data284,data285,data286,data287,data288,data289,data290,data291,data292,data293,data294,data295,data296,data297,data298,data299,data300,data301,data302,data303,data304,data305,data306,data307,data308,data309,data310,data311,data312,data313,data314,data315,data316,data317,data318,data319,data320,data321,data322,data323,data324,data325,data326,data327,data328,data329,data330,data331,data332,data333,data334,data335,data336,data337,data338,data339,data340,data341,data342,data343,data344,data345,data346,data347,data348,data349,data350,data351,data352,data353,data354,data355,data356,data357,data358,data359,data360,data361,data362,data363,data364,data365,data366,data367,data368,data369,data370,data371,data372,data373,data374,data375,data376,data377,data378,data379,data380,data381,data382,data383,data384,class
828,83,-80,4,0,0,0,0,0,0,0,1,2,7,10,8,10,9,11,9,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,11,8,11,9,10,9,10,9,9,9,9,10,9,10,9,10,8,11,8,12,9,13,9,13,9,7,4,15,9,16,8,17,9,17,10,17,10,17,11,17,11,17,12,17,12,16,13,15,13,14,13,14,13,14,12,15,11,15,11,15,12,15,12,15,12,15,12,15,12,15,13,14,13,14,14,13,14,14,14,3,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kit
829,83,-80,4,0,0,0,0,0,0,0,0,0,3,2,3,2,4,2,4,2,4,3,4,3,4,2,4,2,4,2,5,2,5,2,5,2,6,2,6,1,6,1,6,1,7,1,6,1,6,1,7,0,7,0,7,0,7,0,7,-1,8,-1,8,-2,4,-1,9,-2,10,-2,10,-2,10,-2,11,-2,11,-1,12,-1,12,-1,11,-1,11,-1,11,0,11,0,11,0,10,0,10,0,10,0,10,0,11,-1,10,-1,10,0,10,0,10,1,10,1,10,0,10,0,10,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,1,2,6,3,6,3,6,4,6,5,5,6,6,6,6,7,6,7,6,7,6,7,6,8,6,8,6,8,6,9,5,9,5,10,5,11,4,12,4,12,4,12,4,12,4,12,3,12,3,13,2,13,1,13,1,14,1,15,0,16,0,17,2,17,-2,18,-1,18,-1,19,-1,20,-1,21,0,21,1,22,1,21,2,21,2,20,2,20,3,20,3,20,2,20,2,19,2,19,2,19,2,19,2,19,3,19,3,19,3,19,3,19,3,20,3,20,5,6,1,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,1,0,0,-2,-3,-10,-12,-33,-38,-32,-40,-31,-42,-29,-44,-27,-45,-24,-45,-22,-47,-20,-47,-17,-46,-14,-46,-12,-46,-11,-45,-9,-44,-8,-43,-8,-41,-7,-40,-7,-38,-6,-36,-5,-35,-5,-34,-6,-32,-6,-31,-6,-29,-6,-29,-7,-28,-8,-27,-4,-28,-10,-24,-10,-24,-10,-23,-11,-22,-12,-22,-12,-22,-13,-22,-13,-22,-13,-21,-13,-20,-13,-20,-13,-20,-14,-21,-14,-21,-13,-20,-12,-20,-11,-19,-10,-18,-10,-17,-9,-16,-9,-15,-8,-14,-7,-13,-6,-12,-6,-10,-6,-9,-4,-8,-4,-6,-4,-5,-4,-3,-1,-1,kit
830,83,-80,4,0,0,0,0,0,0,0,0,1,2,5,2,5,2,5,2,6,2,6,2,5,3,5,3,5,3,5,3,5,3,4,4,4,4,4,4,4,4,4,4,3,5,3,5,3,5,2,5,2,5,2,5,2,5,2,6,1,6,0,7,0,3,-1,8,-1,8,-1,9,-2,10,-2,10,-1,10,-1,11,-1,11,0,11,0,12,0,11,1,11,1,10,1,11,1,11,1,11,1,11,1,10,1,10,1,10,1,10,2,10,2,10,2,11,2,10,2,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,6,8,7,8,8,7,6,8,6,8,7,8,7,8,7,8,7,8,7,7,7,7,7,7,8,6,8,6,9,6,9,5,9,4,9,4,10,3,10,2,10,2,9,1,9,1,9,1,9,0,10,-1,11,-2,11,-3,12,-4,12,-9,13,-6,14,-7,15,-8,16,-8,17,-8,17,-8,18,-7,18,-7,19,-6,20,-6,20,-5,20,-5,19,-5,19,-5,19,-5,18,-5,18,-5,17,-5,16,-5,17,-4,17,-4,18,-4,19,-3,19,-3,19,-2,18,0,5,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-10,-10,-39,-38,-38,-39,-37,-42,-36,-44,-33,-45,-30,-44,-27,-45,-25,-45,-24,-47,-21,-48,-19,-49,-18,-48,-16,-47,-14,-45,-12,-42,-13,-41,-14,-40,-12,-38,-11,-35,-11,-35,-11,-34,-11,-33,-11,-32,-11,-31,-12,-30,-12,-28,-15,-25,-12,-25,-14,-24,-16,-23,-16,-22,-16,-23,-17,-22,-17,-21,-17,-20,-18,-20,-18,-20,-18,-20,-18,-19,-17,-19,-18,-18,-18,-17,-17,-17,-16,-17,-15,-16,-13,-14,-13,-14,-13,-13,-12,-12,-11,-11,-11,-10,-10,-8,-10,-7,-10,-4,-10,-2,-10,0,-9,1,-2,0,kit
831,83,-80,4,0,0,0,0,0,0,0,1,-1,4,-4,4,-5,4,-5,5,-5,5,-5,5,-5,5,-5,4,-5,4,-5,4,-5,4,-5,4,-5,3,-6,3,-6,3,-6,2,-6,2,-6,1,-6,1,-6,0,-6,-1,-7,-1,-7,-1,-7,-2,-8,-3,-8,-3,-8,-2,-5,-4,-9,-4,-10,-4,-11,-5,-11,-5,-11,-4,-12,-4,-13,-4,-13,-4,-13,-4,-13,-5,-13,-5,-13,-5,-13,-5,-13,-4,-13,-4,-13,-5,-14,-5,-14,-4,-14,-3,-14,-3,-14,-2,-15,-3,-15,-2,-14,-2,-14,-1,-15,-1,-4,0,0,0,0,0,0,0,0,0,-1,1,-1,8,-5,9,-6,9,-7,10,-7,10,-8,9,-8,10,-9,10,-9,9,-9,9,-9,9,-9,9,-9,8,-10,8,-10,8,-10,7,-10,6,-10,6,-10,5,-11,5,-11,4,-11,3,-11,2,-12,1,-12,0,-12,-1,-12,-2,-13,-3,-14,-5,-14,-6,-15,-7,-17,-8,-17,-8,-18,-8,-19,-8,-20,-8,-20,-7,-21,-7,-22,-7,-23,-7,-23,-7,-23,-8,-24,-8,-24,-8,-24,-9,-25,-9,-26,-8,-26,-8,-25,-7,-25,-6,-26,-5,-27,-5,-27,-4,-27,-4,-27,-4,-26,-3,-27,-3,-28,-1,-9,-1,-2,-1,0,0,1,0,0,-1,-1,-1,-1,1,-1,0,-1,-3,1,-14,5,-46,17,-47,15,-49,14,-49,11,-49,9,-49,7,-49,4,-48,2,-47,0,-46,-1,-45,-2,-44,-2,-43,-2,-42,-2,-40,-2,-39,-2,-37,-2,-35,-2,-34,-2,-33,-2,-31,-2,-31,-1,-30,0,-29,1,-30,2,-29,2,-29,4,-27,4,-27,5,-26,5,-25,6,-25,7,-25,7,-25,7,-25,8,-24,8,-23,9,-23,10,-22,10,-22,10,-23,10,-22,9,-21,8,-19,8,-18,7,-17,6,-16,6,-15,5,-14,5,-12,5,-11,5,-9,5,-8,5,-6,5,-4,5,-3,5,-2,5,-1,0,kit
832,83,-80,4,0,0,0,0,0,0,0,0,1,0,6,0,6,0,7,0,7,0,7,-1,7,0,7,0,7,0,7,0,6,0,6,0,6,0,6,0,6,1,6,1,5,2,5,2,5,2,5,2,5,3,5,3,5,3,4,4,4,5,5,6,5,3,2,7,6,7,6,8,6,8,6,8,7,8,7,8,7,8,8,8,8,8,8,8,8,7,8,7,8,7,8,7,8,7,8,7,8,7,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,9,1,2,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,11,0,11,1,11,1,12,0,12,0,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,12,1,12,2,12,3,11,3,10,4,10,5,10,5,10,6,10,6,10,7,9,8,9,9,8,10,9,11,9,13,8,13,9,14,9,15,10,15,10,16,11,17,12,16,13,16,13,16,13,16,14,16,14,16,14,15,14,15,14,15,14,15,14,15,14,15,13,15,13,15,13,15,13,15,13,15,14,15,14,15,15,15,17,4,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-13,-3,-52,-2,-52,1,-53,4,-54,7,-53,9,-50,12,-49,13,-48,15,-47,18,-45,19,-44,19,-44,20,-43,21,-41,21,-38,20,-37,19,-36,18,-33,17,-31,17,-30,17,-29,17,-28,16,-28,15,-27,15,-27,13,-26,14,-26,12,-25,11,-24,9,-23,8,-23,8,-23,7,-23,7,-23,6,-23,6,-22,5,-22,4,-21,5,-20,4,-21,3,-20,3,-19,4,-18,4,-17,3,-16,3,-14,2,-13,2,-12,1,-11,0,-9,0,-8,-1,-7,-2,-6,-2,-5,-4,-4,-5,-3,-6,-3,-1,-1,kit
833,83,-80,4,0,0,0,0,0,0,0,0,-5,2,-17,3,-18,3,-19,3,-20,3,-19,4,-19,4,-18,4,-18,4,-18,4,-18,3,-18,3,-18,3,-17,3,-17,2,-17,2,-16,2,-15,1,-15,1,-14,0,-14,0,-14,-1,-14,-1,-13,-2,-13,-4,-14,-5,-14,-3,-7,-7,-14,-8,-15,-9,-15,-9,-15,-9,-16,-9,-17,-10,-17,-10,-18,-10,-19,-10,-18,-10,-18,-10,-18,-10,-18,-11,-18,-11,-17,-12,-18,-12,-19,-11,-19,-11,-20,-11,-20,-10,-21,-10,-22,-10,-22,-10,-22,-9,-23,-8,-24,-2,-7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kit
834,83,-80,4,0,0,0,0,0,0,0,-1,0,-4,1,-4,1,-4,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,-4,1,-4,1,-4,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,3,-4,3,-3,3,-3,4,-3,4,-3,4,-2,2,-3,5,-3,5,-3,5,-3,5,-3,5,-3,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-4,6,-5,6,-5,6,-5,6,-5,6,-6,5,-6,6,-2,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,-3,4,-3,5,-3,6,-3,7,-5,4,-5,5,-6,5,-6,5,-7,5,-7,4,-7,4,-6,5,-6,5,-6,5,-6,5,-6,5,-6,5,-5,5,-5,5,-4,6,-4,6,-4,6,-4,6,-3,6,-3,6,-3,7,-2,7,-2,7,-2,8,-2,8,3,9,-1,9,0,9,0,9,0,10,0,11,-1,11,-1,12,-1,12,-1,12,-1,12,-2,12,-2,12,-2,11,-2,12,-1,12,-1,12,-2,13,-2,12,-2,12,-2,12,-2,13,-3,13,-3,13,-4,13,-5,13,-5,14,-2,3,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-9,15,-36,16,-35,18,-34,21,-33,22,-31,23,-28,24,-26,25,-25,26,-24,27,-22,28,-20,28,-18,28,-17,27,-15,26,-14,25,-14,24,-14,23,-12,21,-10,21,-10,20,-10,19,-9,19,-9,18,-9,18,-8,17,-8,13,-14,14,-8,13,-9,12,-9,12,-9,12,-10,12,-10,11,-10,10,-10,10,-11,10,-11,10,-11,10,-10,10,-10,10,-10,9,-10,9,-10,9,-9,8,-8,7,-7,7,-7,6,-7,6,-6,6,-6,5,-5,4,-5,3,-4,1,-5,0,-5,-1,-4,-2,-3,-1,-1,kit
835,83,-80,4,0,0,0,0,0,0,0,-2,-2,-6,-6,-5,-6,-5,-6,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,-4,-7,-4,-7,-3,-6,-3,-7,-3,-7,-3,-7,-2,-7,-2,-7,-1,-8,-1,-8,0,-5,0,-9,1,-9,1,-10,1,-10,2,-10,1,-11,1,-11,2,-12,2,-12,2,-12,2,-12,1,-12,1,-12,1,-12,1,-12,1,-13,1,-13,1,-13,2,-13,2,-14,1,-14,1,-14,0,-15,0,-15,0,-15,0,-15,-1,-4,-1,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-8,-9,-8,-9,-8,-9,-9,-10,-9,-10,-10,-11,-10,-11,-10,-11,-10,-11,-10,-11,-10,-11,-11,-11,-11,-11,-10,-11,-11,-10,-11,-10,-11,-9,-12,-9,-12,-8,-12,-8,-12,-7,-12,-6,-12,-5,-12,-5,-12,-4,-12,-3,-12,-2,-13,-2,-14,-1,-15,0,-15,3,-16,2,-17,3,-17,4,-18,4,-19,4,-20,4,-21,4,-22,4,-22,4,-22,4,-22,4,-22,4,-22,4,-22,5,-23,5,-23,5,-23,5,-24,5,-24,4,-25,4,-25,3,-26,3,-27,2,-28,1,-28,0,-28,-2,-9,-1,-2,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-2,-1,-1,1,2,8,14,27,46,25,48,23,49,20,51,17,50,15,49,13,49,11,49,9,47,6,47,4,46,3,46,2,45,1,43,1,41,1,40,1,38,1,35,1,34,1,32,2,31,2,30,2,28,3,27,3,27,4,26,3,26,6,24,7,24,8,23,9,22,10,21,10,21,10,21,11,21,11,20,11,20,11,19,11,19,11,19,11,19,10,18,10,17,10,16,9,15,8,15,7,14,6,13,5,11,5,10,4,9,4,7,4,6,5,4,5,2,5,0,5,-2,0,-1,kit
836,83,-80,4,0,0,0,0,0,0,0,-1,-2,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-7,-1,-7,0,-7,0,-7,0,-7,-1,-7,-1,-7,-1,-6,-1,-6,-2,-6,-3,-6,-3,-6,-4,-6,-3,-6,-3,-6,-3,-6,-4,-6,-4,-6,-5,-6,-5,-7,-5,-6,-3,-3,-6,-6,-6,-6,-6,-7,-6,-7,-6,-7,-7,-7,-7,-8,-7,-8,-7,-8,-7,-9,-7,-9,-6,-9,-6,-9,-6,-8,-6,-9,-7,-9,-7,-9,-6,-9,-6,-9,-6,-9,-6,-10,-5,-10,-5,-10,-5,-11,-5,-11,-5,-10,-2,-3,0,0,0,0,0,0,0,0,0,-1,0,-3,1,-13,1,-13,1,-14,0,-14,0,-14,-1,-14,-1,-14,-1,-14,-1,-14,0,-14,0,-13,0,-13,0,-13,0,-12,-1,-12,-2,-12,-2,-12,-2,-11,-3,-11,-4,-11,-5,-11,-5,-11,-6,-11,-6,-12,-6,-11,-6,-12,-7,-12,-8,-12,-8,-12,-9,-12,-8,-12,-9,-12,-10,-12,-10,-12,-11,-12,-12,-13,-12,-14,-12,-14,-12,-15,-12,-15,-12,-16,-11,-16,-11,-16,-11,-16,-11,-16,-11,-17,-10,-16,-10,-17,-10,-17,-10,-17,-10,-17,-10,-18,-9,-19,-9,-20,-9,-20,-8,-20,-9,-19,-3,-6,-1,-2,-1,0,0,0,0,0,-1,-1,-1,-1,-2,-1,-1,-1,2,0,15,3,49,11,49,14,48,17,47,21,45,23,41,25,38,28,36,30,34,31,32,32,31,33,29,33,27,33,25,33,23,32,21,31,20,30,18,28,17,27,16,27,15,26,15,26,15,25,15,24,16,23,16,22,16,22,15,21,16,20,16,19,16,18,16,18,16,18,16,18,16,18,16,17,16,17,16,17,16,17,16,16,17,16,17,16,16,15,15,15,14,15,13,14,12,14,11,14,11,14,11,13,10,12,9,11,8,10,8,9,8,8,9,7,9,6,1,1,kit
837,83,-80,4,0,0,0,0,0,0,0,0,1,2,4,3,4,3,4,4,5,3,5,3,5,3,5,3,5,3,4,4,4,4,4,4,4,4,3,5,3,5,3,5,2,6,2,6,2,6,2,6,2,6,2,7,2,7,1,8,1,8,0,8,0,4,0,9,0,10,-1,10,-1,11,-1,11,-1,11,-1,12,0,12,0,12,0,12,0,12,1,12,1,12,2,11,2,11,2,11,2,11,2,11,2,11,2,10,2,10,2,11,3,11,2,10,2,10,2,10,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,4,8,5,9,5,7,6,8,6,8,7,8,7,8,7,8,7,8,7,9,6,9,6,9,5,9,5,9,4,9,3,10,3,10,2,11,1,12,1,12,0,12,0,13,0,13,0,13,-1,14,-2,14,-2,15,-3,15,-4,15,-10,16,-6,16,-7,17,-8,17,-8,18,-7,20,-7,21,-7,22,-7,22,-6,23,-6,22,-5,21,-4,21,-4,21,-4,21,-4,21,-4,21,-3,20,-3,19,-2,19,-2,19,-2,19,-2,19,-3,20,-3,20,-2,21,-1,6,-1,1,-1,-1,0,-1,0,-1,-1,0,0,0,0,1,0,0,0,-3,-2,-12,-11,-37,-37,-36,-38,-35,-40,-33,-42,-30,-43,-27,-44,-25,-45,-23,-45,-20,-45,-17,-45,-15,-44,-14,-43,-12,-41,-11,-39,-11,-37,-11,-36,-12,-34,-11,-33,-11,-31,-12,-30,-12,-29,-13,-28,-13,-28,-13,-27,-13,-26,-14,-25,-18,-22,-16,-23,-17,-22,-18,-21,-18,-20,-19,-20,-19,-21,-19,-21,-20,-21,-20,-20,-20,-20,-20,-20,-19,-20,-19,-19,-19,-19,-19,-19,-18,-19,-17,-18,-16,-18,-14,-17,-14,-16,-12,-15,-11,-14,-10,-14,-10,-13,-9,-11,-8,-10,-9,-7,-8,-5,-7,-4,-7,-2,-2,-1,kit
838,83,-80,4,0,0,0,0,0,0,0,-1,1,-3,4,-3,4,-3,5,-4,5,-3,5,-3,5,-3,5,-3,5,-3,5,-2,5,-2,5,-1,5,0,6,0,6,0,6,1,6,1,6,1,6,2,7,2,8,2,8,2,8,2,9,3,9,3,10,3,10,2,5,4,10,4,11,4,11,4,11,4,11,4,12,4,12,4,12,3,12,3,12,3,12,2,12,2,12,2,12,2,12,2,12,2,12,2,11,1,11,1,11,1,11,2,11,2,12,2,11,2,11,1,11,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,0,-3,6,-3,7,-2,9,-2,9,-4,9,-4,9,-4,10,-4,11,-3,11,-3,10,-3,11,-3,10,-2,10,-1,10,-1,10,1,10,2,10,2,10,3,11,4,11,5,12,5,12,6,13,6,14,6,14,7,15,7,14,8,15,9,16,10,16,14,15,11,17,11,18,11,18,11,18,11,19,11,20,11,21,11,21,10,21,10,22,9,21,9,21,9,20,9,20,9,21,8,21,8,20,8,20,7,20,7,20,7,20,8,20,8,20,8,20,8,21,7,23,1,6,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2,-13,9,-49,11,-49,15,-49,18,-48,20,-46,22,-44,25,-42,27,-40,27,-38,28,-34,29,-32,28,-31,27,-28,26,-26,25,-24,23,-24,21,-23,19,-22,17,-21,15,-21,15,-21,14,-22,13,-21,12,-21,11,-21,9,-22,3,-25,7,-23,6,-24,5,-24,4,-25,4,-25,4,-26,5,-28,5,-29,4,-29,4,-29,4,-28,5,-28,6,-28,6,-28,6,-27,7,-26,8,-25,8,-23,8,-21,8,-20,7,-18,7,-17,7,-15,6,-14,5,-12,4,-10,1,-10,-1,-8,-2,-8,-2,-7,-1,-1,kit
839,83,-80,4,0,0,0,0,0,0,0,1,0,5,1,6,0,6,0,6,0,6,0,6,0,6,-1,6,-1,6,-1,6,-2,6,-2,7,-2,7,-2,7,-3,7,-4,8,-5,8,-5,8,-5,8,-5,8,-5,8,-5,8,-5,9,-5,9,-6,9,-6,9,-7,4,-4,10,-7,10,-7,10,-8,10,-7,10,-7,11,-8,11,-8,11,-8,12,-8,12,-7,12,-7,12,-7,12,-6,12,-6,12,-6,12,-6,12,-5,12,-5,12,-4,12,-4,11,-4,11,-4,11,-4,11,-4,11,-3,10,-3,2,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,9,2,9,1,10,0,11,0,11,1,12,0,12,-1,12,-1,12,-1,11,-2,11,-2,11,-2,11,-3,11,-4,12,-4,12,-5,13,-6,13,-7,13,-8,13,-10,14,-11,14,-11,14,-11,14,-11,15,-11,15,-12,16,-12,17,-12,17,-13,16,-14,16,-15,16,-15,17,-15,17,-16,18,-16,19,-16,19,-16,19,-16,20,-16,20,-15,21,-15,22,-15,22,-14,22,-14,22,-14,22,-14,22,-14,21,-13,21,-11,21,-10,21,-10,21,-10,21,-10,20,-8,20,-8,19,-7,17,-6,3,-2,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-13,1,-51,4,-52,2,-53,-1,-54,-4,-52,-6,-50,-8,-49,-11,-48,-12,-46,-14,-42,-16,-41,-17,-40,-18,-38,-18,-35,-17,-33,-16,-33,-14,-32,-13,-30,-12,-29,-11,-28,-10,-27,-9,-27,-7,-27,-7,-27,-6,-27,-6,-27,-4,-28,-2,-27,-2,-28,-1,-27,0,-27,1,-28,1,-28,0,-29,0,-29,0,-29,1,-29,1,-28,1,-28,0,-28,0,-28,0,-26,0,-25,0,-24,-1,-22,-1,-21,-1,-20,-1,-18,-1,-17,-1,-15,-1,-14,0,-13,1,-12,1,-10,3,-9,4,-7,4,-5,5,-1,0,kit
840,83,-80,4,0,0,0,0,0,0,0,-1,-1,-3,-4,-3,-3,-4,-3,-4,-3,-4,-3,-4,-2,-4,-2,-4,-1,-4,-1,-5,-1,-5,0,-5,0,-6,0,-6,1,-7,1,-7,1,-7,1,-7,1,-7,2,-8,2,-8,2,-9,2,-9,2,-9,3,-10,3,-10,3,-5,2,-11,4,-11,4,-11,4,-11,4,-12,4,-12,3,-13,3,-13,3,-13,3,-13,2,-13,2,-13,1,-13,1,-13,1,-13,1,-13,1,-13,0,-12,1,-11,0,-11,0,-11,0,-11,0,-11,0,-11,0,-11,0,-11,1,-3,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-6,-7,-6,-6,-6,-6,-6,-6,-5,-6,-6,-6,-6,-5,-6,-5,-7,-4,-7,-3,-8,-3,-8,-2,-8,-1,-8,-1,-9,0,-9,1,-10,1,-11,2,-12,3,-12,4,-13,4,-13,5,-13,5,-14,5,-14,6,-15,6,-16,7,-16,7,-17,7,-17,8,-17,10,-18,8,-19,9,-20,9,-20,9,-21,9,-22,8,-23,8,-23,8,-23,7,-23,7,-23,6,-23,5,-23,4,-23,5,-23,4,-23,4,-22,3,-21,3,-21,2,-20,2,-20,2,-20,2,-20,2,-20,2,-19,2,-18,3,-6,1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,8,42,33,40,34,39,37,37,40,33,41,30,40,28,41,25,42,22,42,19,41,16,40,15,39,14,37,13,35,12,33,12,31,13,30,12,28,12,27,11,26,12,26,12,25,12,24,12,23,12,23,12,22,14,20,12,19,13,19,13,18,13,17,13,17,12,17,12,16,12,15,12,14,12,13,12,13,11,12,11,11,11,11,11,10,11,9,10,8,9,7,9,6,9,5,9,5,8,4,7,3,7,2,7,1,7,1,7,0,6,-2,7,-2,8,-3,0,-1,kit
841,83,-80,4,0,0,0,0,0,0,0,0,-4,3,-16,4,-15,5,-14,6,-13,6,-12,7,-11,7,-9,8,-9,8,-8,9,-8,10,-8,11,-9,12,-8,14,-7,15,-5,16,-5,16,-5,18,-4,19,-3,20,-2,21,-2,22,-1,22,0,23,0,25,0,25,1,12,0,26,1,27,1,27,0,27,1,26,1,26,1,26,1,25,0,25,-1,24,-3,24,-4,24,-5,23,-7,23,-8,23,-9,25,-10,25,-11,26,-12,26,-12,26,-12,27,-13,28,-13,28,-13,29,-13,28,-14,27,-13,6,-4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kit
